892 2558
457 351 25
795 97 328
605 424 712
326 23 583
790 1 83
245 845 25
277 775 712
59 190 8
428 562 536
157 723 513
86 757 752
51 33 160
546 522 917
337 359 277
755 377 786
91 868 400
261 352 407
412 572 50
467 4 655
716 514 711
629 655 950
335 299 251
194 113 851
885 309 757
671 863 780
657 808 907
52 311 962
873 857 14
722 131 578
85 885 36
725 237 869
790 545 457
685 374 82
825 61 54
410 225 560
566 426 635
450 536 199
376 124 530
320 648 584
248 330 501
221 299 432
892 698 961
843 247 64
842 413 520
545 265 347
231 787 787
215 779 205
349 164 28
179 453 199
235 404 507
85 696 781
487 379 285
387 634 844
417 432 199
638 200 288
876 748 63
822 855 180
225 799 606
500 431 729
338 612 56
351 93 639
424 154 35
312 214 619
255 7 533
382 770 291
602 399 978
769 265 176
27 576 421
622 281 207
707 609 861
107 156 680
306 842 722
714 337 926
101 427 48
496 54 687
647 806 813
648 468 86
605 653 621
590 447 276
35 536 677
165 199 10
694 825 576
2 43 389
746 301 482
9 286 298
643 534 464
581 431 398
7 325 816
65 748 19
523 587 893
68 359 781
837 161 732
601 708 803
537 435 92
519 420 876
4 401 655
683 454 668
889 101 187
196 76 116
252 766 892
846 506 590
616 242 462
170 293 390
381 397 685
648 347 816
528 310 69
474 219 35
287 407 296
496 797 781
322 369 492
165 177 824
762 758 690
284 304 1
747 726 409
648 374 13
83 40 34
790 673 508
496 782 653
762 110 724
416 488 153
336 401 273
196 590 839
593 82 940
549 661 731
88 584 310
184 61 148
770 314 869
549 815 666
796 848 351
115 496 866
555 507 932
817 296 211
372 360 804
788 18 563
398 16 497
409 770 852
726 70 896
724 360 437
505 511 430
296 430 364
253 381 466
302 93 411
544 518 625
334 764 722
650 160 921
114 596 915
679 379 90
604 109 406
701 824 763
90 657 86
565 191 352
173 189 941
23 441 480
418 375 338
836 397 332
52 699 409
76 475 537
158 315 446
425 418 907
515 767 100
771 172 604
580 766 76
573 816 877
311 816 93
367 684 981
614 185 54
524 446 998
130 468 277
78 191 678
141 581 81
475 150 801
867 457 353
130 599 311
824 385 901
795 281 636
180 542 959
89 379 266
305 594 170
582 757 251
52 372 195
152 541 927
612 116 567
255 347 512
351 157 233
578 473 887
104 133 170
157 741 508
113 336 95
561 828 37
649 121 435
328 397 977
344 593 628
763 55 951
145 379 958
735 615 190
408 531 528
417 716 406
580 821 666
680 113 248
371 845 550
819 748 1000
390 311 891
567 228 752
212 524 776
388 326 182
96 620 406
833 661 81
