1000 889
233 879 82
161 367 291
724 848 -156
367 194 -482
387 993 67
44 82 561
285 66 -499
382 863 -775
815 546 786
137 545 698
672 504 250
841 910 -912
312 928 -658
296 205 -659
660 707 560
473 77 534
786 166 -923
81 850 -529
161 225 748
466 72 -823
168 95 -568
493 933 -348
309 962 176
714 673 -634
537 890 -400
313 743 789
974 395 421
654 349 69
327 617 922
190 688 590
931 964 346
258 667 953
324 155 708
698 94 751
598 396 969
839 909 368
368 116 -579
970 578 -930
443 630 -294
909 484 596
894 200 -327
686 958 364
453 54 -292
418 499 556
941 773 911
81 495 159
716 689 74
775 832 -735
219 53 559
890 542 -459
755 174 -130
961 871 76
775 869 297
388 747 943
261 766 983
84 387 -770
644 615 891
737 630 -429
726 664 -99
192 413 -121
108 785 337
649 712 11
621 534 -331
125 793 172
77 759 -297
681 808 637
22 664 847
164 990 -571
706 892 427
278 56 31
639 244 -895
762 861 510
73 594 -37
671 447 -244
30 850 -797
641 112 -631
158 162 -780
905 836 -144
86 544 66
507 237 541
732 304 -712
842 357 -632
955 980 -415
631 823 308
842 139 395
1000 324 -145
851 845 970
480 975 606
38 474 -387
98 337 967
403 932 692
205 67 981
87 360 620
936 510 -698
17 879 104
241 454 114
299 451 -571
939 287 -145
153 703 -518
415 146 94
699 607 -538
485 254 -753
147 343 160
465 816 -69
386 677 674
966 633 -625
795 330 -26
76 921 575
955 159 -43
434 695 127
123 556 650
128 458 992
337 191 -965
903 620 95
692 752 413
15 937 159
715 982 -818
820 705 -440
496 695 205
320 332 397
803 606 -250
91 984 655
982 400 -177
557 137 -178
138 849 -44
426 433 168
603 622 954
745 958 949
517 197 -229
500 199 867
209 927 876
473 696 -580
537 843 -870
506 267 208
384 508 552
463 270 -576
794 36 -713
14 249 222
436 216 416
799 488 246
435 700 -67
192 242 737
965 693 -926
495 767 676
485 816 -622
24 85 -417
915 176 850
315 314 821
54 501 509
502 637 908
870 276 643
705 506 907
316 986 -153
643 15 -385
213 131 -947
895 765 532
160 482 -829
203 535 853
270 466 -992
568 786 -937
723 367 -112
663 277 -326
410 352 551
524 831 -37
730 327 839
637 12 -370
144 864 -577
316 207 460
535 98 171
402 38 -949
883 742 108
926 667 846
359 775 900
317 396 32
535 806 627
496 209 -680
354 476 -346
404 411 -718
717 421 -952
128 917 -268
639 458 -411
54 9 -656
77 274 -370
953 254 -693
762 79 102
91 703 293
613 711 87
716 812 992
309 904 456
277 136 -365
664 642 300
688 423 -4
466 937 124
209 833 -169
709 967 437
895 380 -266
702 829 -790
485 117 826
628 601 576
731 822 -296
395 932 634
530 285 735
356 648 911
576 388 -666
756 422 824
788 546 699
402 811 -136
267 936 339
45 998 962
346 882 -862
489 992 90
364 734 -66
694 643 -186
16 363 910
715 397 -583
402 869 674
897 964 912
714 816 419
104 517 54
234 310 440
150 373 690
714 544 868
672 29 395
493 384 -344
258 415 -123
858 708 371
134 45 703
486 642 352
147 536 -362
713 412 587
447 126 192
533 989 -138
617 479 781
335 33 286
546 734 -37
992 522 -90
571 405 727
727 167 554
27 444 -882
203 108 485
878 897 -936
679 589 665
153 546 36
332 803 741
924 225 -820
209 656 597
469 754 145
978 156 -629
728 307 -785
916 145 -389
242 609 -493
964 925 746
341 415 -562
46 934 -269
685 502 431
418 338 -833
877 583 941
72 878 -126
572 810 -760
860 758 -149
817 877 -907
304 758 449
251 229 951
284 966 -559
27 386 710
170 594 631
616 809 115
78 780 431
623 345 193
908 985 890
394 432 433
22 607 -612
639 462 364
341 870 -571
642 823 -687
178 915 -848
775 170 755
150 927 -377
770 28 -165
513 797 685
176 191 393
871 500 -539
352 625 -632
586 957 -243
449 628 192
923 797 827
409 783 276
428 960 -983
446 756 594
685 38 180
6 312 -803
224 995 -372
475 420 -509
924 879 -700
560 886 685
268 705 766
890 853 -171
162 742 185
499 292 -886
778 834 588
533 340 -705
243 606 144
106 826 -263
67 577 -378
10 224 610
792 372 -529
436 62 -648
654 610 304
48 428 373
243 843 -300
564 986 100
885 443 -629
944 249 -742
511 338 -905
566 446 399
170 613 653
751 728 -168
910 613 -67
924 29 487
385 45 747
712 796 -680
789 943 -33
413 132 -20
241 942 -695
151 822 -221
570 951 224
40 170 894
229 605 -36
349 933 799
910 544 126
908 912 69
115 126 379
209 973 390
967 416 634
769 880 263
434 167 -255
751 310 -322
631 200 -729
549 562 670
143 392 413
756 496 411
431 766 -190
193 930 -515
942 317 19
506 901 -789
165 557 185
441 231 -599
718 67 559
959 940 -557
592 653 -960
806 207 639
488 886 775
181 906 795
388 864 -157
859 510 -431
163 854 -717
594 98 87
210 5 -590
527 697 86
5 405 229
733 944 -838
525 888 -337
233 623 542
184 940 -744
226 251 -500
612 947 -640
585 674 -958
55 111 99
195 26 659
752 982 -157
750 73 660
753 199 -73
953 754 -3
710 607 -736
211 87 391
635 789 -942
558 261 593
215 691 -424
70 940 -951
726 358 312
685 939 82
401 946 -633
215 758 711
961 680 191
517 202 -354
167 258 -889
405 614 752
245 441 -824
12 823 -183
421 179 409
811 141 -894
368 760 55
134 582 548
122 763 266
81 446 800
469 589 -736
455 460 -313
254 838 559
389 484 -220
454 136 592
938 112 57
925 952 -263
476 470 265
307 772 688
690 524 -938
234 607 -732
381 920 -468
801 822 874
240 572 -50
838 446 935
95 254 847
187 952 -806
818 469 814
853 223 177
941 757 -885
835 13 -63
440 92 -315
178 401 290
381 468 -711
479 594 631
169 971 552
30 692 237
720 489 -524
916 102 -877
474 29 287
746 349 182
788 164 -825
673 237 426
90 627 -384
137 916 -188
98 722 978
112 915 607
393 305 589
143 166 -200
277 142 185
82 425 613
265 44 58
22 958 4
701 42 -498
444 856 -651
627 481 592
570 823 -842
385 285 789
52 145 685
946 767 816
273 577 -98
682 796 -169
705 926 -947
410 678 -928
460 692 91
442 490 650
790 480 817
82 712 -376
810 256 -782
343 699 128
794 173 469
596 586 187
985 128 943
581 761 -618
945 397 -709
186 849 -534
624 892 -144
724 405 -70
559 216 765
380 819 -410
365 38 -809
470 963 -797
516 233 638
484 445 -334
451 509 -385
800 496 -33
627 534 -366
472 62 52
358 851 264
323 134 -296
503 283 176
846 251 712
876 930 -850
35 411 488
630 48 -575
679 546 792
861 73 -779
445 545 271
77 810 589
867 127 531
674 261 518
901 520 -451
145 798 -992
589 228 -971
268 60 -399
712 805 30
740 371 -96
783 310 -337
443 524 -848
615 417 -538
475 931 -775
101 548 326
99 793 125
328 640 -510
760 930 805
705 539 861
51 213 420
622 685 -512
462 824 -100
809 890 724
222 425 -567
370 299 -158
75 111 634
886 696 975
532 131 -174
549 633 897
237 726 553
543 274 -434
80 517 -496
806 164 -202
410 95 -32
453 810 808
618 427 382
658 377 790
465 59 -760
56 181 -360
447 430 224
455 795 -371
365 852 789
391 804 -459
377 918 -44
570 698 -148
641 456 574
259 600 -343
893 778 418
994 454 -582
171 552 644
391 741 -459
886 794 356
974 671 -47
830 323 503
908 602 507
558 341 -293
492 793 -544
101 262 100
340 949 -153
495 632 883
215 582 951
33 283 -257
233 409 -578
623 833 -384
891 831 227
543 304 -983
965 168 972
530 283 749
735 111 914
175 818 961
993 253 390
700 485 830
470 217 426
698 538 678
505 423 87
910 53 -485
65 871 364
950 662 -161
570 354 463
218 782 957
552 865 832
583 680 -295
434 98 -481
247 404 -125
518 517 -354
913 278 -637
300 366 575
981 726 -669
515 821 969
59 125 882
53 521 -775
763 577 -180
622 664 160
781 501 -754
903 300 558
865 85 -203
421 427 950
950 75 -764
575 356 -11
14 983 317
294 683 -144
74 130 650
336 935 -207
895 618 782
851 686 771
628 472 -30
775 11 -219
99 509 542
13 363 -673
108 39 217
287 989 701
250 199 113
241 812 -865
655 690 -616
998 714 -55
536 74 693
616 821 -987
951 134 -278
607 851 241
32 80 -420
867 4 566
772 311 760
325 145 937
144 22 46
273 937 -57
316 221 381
312 446 258
766 20 630
609 564 6
38 226 105
439 967 -355
764 892 -764
446 717 889
75 921 -831
977 441 -908
226 482 369
582 471 658
731 752 -339
446 989 700
550 110 324
99 497 -207
822 418 -357
945 807 -728
324 653 -430
982 348 406
242 511 -428
407 61 -430
278 633 -990
360 333 -254
165 278 748
813 274 399
425 604 -385
779 659 973
262 711 -558
719 467 -256
769 901 81
976 708 72
662 561 -705
204 913 525
394 913 480
677 781 932
429 78 -773
79 180 553
920 253 770
66 926 -934
827 657 -837
399 183 -274
133 753 -387
277 902 946
810 718 -521
564 676 560
18 281 -24
310 291 708
954 595 -89
253 384 -13
866 659 -279
688 47 135
808 30 -297
809 161 57
640 400 616
134 812 -1000
72 465 -311
143 746 -416
434 414 -61
735 618 205
158 765 -508
289 567 -806
817 239 -971
878 864 -43
832 135 379
522 611 220
107 541 -356
940 116 220
191 4 -321
483 103 859
342 135 -183
981 273 -979
543 402 -480
56 900 -738
133 414 668
968 503 -563
430 938 933
100 726 305
348 872 790
289 686 -120
376 312 991
259 864 -588
623 440 -587
182 881 45
348 808 908
440 843 -418
314 528 -244
906 305 -682
373 768 -895
669 326 893
541 744 965
851 57 -474
993 484 817
178 657 -786
17 258 -707
606 494 968
586 938 817
305 938 -920
549 801 922
808 383 456
485 824 -585
199 139 594
672 983 -406
112 357 -474
88 148 -614
393 74 -842
94 719 -209
926 174 -42
588 369 -659
885 298 884
803 764 259
137 393 946
718 65 -677
160 852 319
693 504 -348
505 205 -718
786 439 -134
97 870 -251
962 485 -923
80 679 912
235 513 210
65 255 -960
653 891 -528
278 76 -497
348 543 -890
26 612 259
231 89 178
544 484 381
166 738 -710
425 53 -447
982 788 -543
274 227 -837
825 689 -907
726 477 346
133 549 715
363 743 469
350 824 950
115 872 798
58 833 -908
294 936 -392
516 313 -125
545 752 -908
316 7 -881
376 730 353
276 890 795
38 798 -482
394 654 970
993 338 678
569 776 -924
544 866 -959
170 142 673
394 644 960
712 215 271
73 863 220
305 263 427
784 46 787
561 140 -821
473 724 -76
575 100 959
390 523 558
541 215 987
67 18 600
299 968 -959
984 58 -666
553 717 395
781 492 -330
647 100 237
511 366 968
127 672 70
311 170 233
924 116 953
926 778 -92
975 990 -421
824 246 461
96 787 -857
575 817 -329
395 510 845
245 695 913
619 785 -106
523 781 -325
631 892 597
998 365 822
388 784 -644
843 664 878
644 59 -917
111 946 -843
303 368 -651
492 625 984
580 78 -878
435 415 -713
47 6 434
772 210 969
933 587 19
578 749 719
609 134 -992
475 973 376
455 862 -368
321 750 -365
717 26 10
180 663 -467
626 633 881
437 326 275
546 20 118
769 434 -354
61 552 658
902 392 883
772 710 -447
159 909 -5
245 718 843
931 292 -68
961 870 -581
965 94 372
85 984 -115
391 80 365
512 7 -653
182 570 621
107 879 530
885 115 -19
428 614 -971
536 470 -149
478 345 121
65 586 749
388 411 597
293 85 -813
580 27 -121
872 336 -801
