17

910 1694
728 700 329
681 177 118
32 640 674
543 323 809
290 782 860
230 130 669
89 801 871
451 419 936
635 452 672
171 433 132
168 435 144
199 344 503
682 174 437
193 386 502
745 565 13
103 895 954
718 773 902
543 15 607
200 595 850
218 139 82
696 395 2
521 652 33
637 413 852
249 805 601
711 215 840
410 550 204
214 707 440
786 4 29
407 481 713
135 222 144
687 607 917
455 849 481
153 446 410
362 708 947
866 267 413
216 631 966
52 275 200
762 519 117
256 168 883
198 316 520
21 131 7
732 482 191
568 407 662
38 896 462
385 658 726
404 550 366
76 802 635
812 910 197
650 92 323
379 896 4
658 504 427
827 864 853
464 202 577
568 500 980
712 858 330
697 39 402
301 532 291
558 599 478
635 136 999
231 121 576
204 309 705
853 779 257
878 110 427
80 348 823
663 735 19
205 349 287
812 223 270
772 662 421
825 373 415
144 414 298
801 907 660
470 458 824
806 325 960
628 84 835
474 438 637
628 538 595
425 612 234
276 864 730
495 651 124
559 49 923
205 83 788
44 588 363
238 706 296
349 539 768
256 369 985
362 742 932
756 175 177
598 380 856
126 790 351
432 574 179
440 859 247
638 668 228
307 57 828
689 545 71
798 627 981
678 256 706
849 834 837
9 776 989
135 377 605
84 515 78
420 747 858
619 754 664
835 244 68
286 384 806
406 162 283
760 811 69
472 284 600
302 503 966
745 30 891
361 836 581
112 465 297
259 290 340
155 405 403
555 146 816
96 309 786
833 781 885
381 878 391
445 440 786
30 315 523
255 755 638
514 263 27
703 418 432
395 607 923
204 823 418
394 68 846
788 617 1
650 625 701
891 48 414
117 703 828
226 42 669
12 115 177
486 51 730
835 874 243
618 629 959
753 385 411
49 43 58
197 536 195
588 142 291
262 460 21
569 186 292
612 780 764
807 859 679
643 438 118
300 74 971
388 592 655
771 62 208
346 50 364
715 232 578
345 531 768
64 211 308
309 479 804
74 596 761
556 726 239
553 317 851
594 544 200
393 366 589
19 70 599
686 232 131
399 85 639
783 113 916
606 191 153
181 378 208
381 495 414
661 428 23
358 255 730
713 155 452
399 823 597
910 862 256
599 348 259
868 411 143
874 766 563
487 819 887
394 681 463
571 95 540
407 136 456
900 404 807
43 97 475
142 350 632
516 612 656
532 253 528
410 897 573
520 384 664
616 662 153
392 153 265
769 479 764
94 256 495
123 376 694
527 626 683
502 142 467
92 288 895
325 737 665
564 561 654
259 841 588
714 323 548
143 523 231
192 871 464
338 362 230
69 40 356
255 768 40
738 798 668
820 40 691
296 805 722
462 869 891
513 364 548
659 180 92
594 482 222
116 182 23
107 529 794
135 685 414
81 777 967
331 34 723
710 78 883
510 526 326
410 658 561
302 76 637
867 625 531
77 373 109
140 712 481
347 847 188
617 452 124
591 740 627
506 359 454
794 543 840
426 837 72
163 212 365
74 794 955
893 55 144
7 185 561
377 389 263
796 302 516
247 787 398
489 50 303
434 627 725
719 138 880
424 15 783
537 294 236
801 475 212
35 152 40
130 624 504
757 270 625
179 435 417
848 150 138
722 194 46
743 21 47
854 313 837
343 486 169
258 5 622
514 83 789
750 278 659
262 600 719
857 421 4
178 307 209
104 696 452
696 904 573
166 72 377
306 683 203
10 698 687
391 496 366
524 586 998
391 411 408
