19

871 977
8 639 377
170 161 250
343 713 991
803 651 -394
831 869 -785
473 11 876
647 487 -741
270 446 -597
15 273 772
551 317 -767
696 238 -937
363 698 -749
860 261 862
468 330 -667
788 48 385
735 441 -114
617 17 338
62 475 -656
44 352 285
639 622 266
615 57 -297
406 164 893
745 475 153
224 335 -836
679 420 297
792 388 967
303 326 -681
314 234 34
593 606 939
578 165 -864
60 304 610
242 317 58
414 200 -806
432 483 71
389 53 -310
696 8 -891
559 518 -357
371 498 -852
475 722 975
451 586 235
330 682 365
288 621 -193
334 324 -453
529 317 -889
427 574 986
667 782 -134
286 799 703
203 703 591
394 654 911
615 685 -96
517 835 782
779 793 533
770 867 892
127 774 -874
570 326 -237
716 699 599
564 91 360
372 334 -910
816 643 -408
461 863 -641
227 317 -827
610 742 -275
217 42 -279
722 547 154
832 277 -63
295 73 622
766 679 -669
492 423 868
232 424 -666
780 374 -1000
435 741 632
713 595 -426
774 122 799
58 509 517
477 174 -292
371 340 -267
220 680 -955
672 699 -401
620 348 -853
534 680 -886
703 291 620
35 453 -940
273 538 766
364 609 969
285 398 -511
349 430 177
329 652 -63
157 348 -134
339 639 720
523 179 525
218 561 -275
816 630 -445
21 786 -239
635 210 -218
93 738 842
866 691 -604
481 685 -264
705 669 631
843 345 -250
337 261 -358
163 856 -906
20 24 545
775 302 -166
371 87 -278
215 607 -172
138 233 -898
858 83 -957
610 212 599
725 356 552
539 41 -757
510 127 -217
547 336 962
430 632 992
475 692 -314
442 7 -546
552 225 212
506 297 493
604 424 210
724 817 -568
713 256 -371
150 800 -609
635 721 911
59 477 503
295 162 -315
777 414 -20
490 285 292
162 319 -253
454 156 815
838 409 -83
83 255 -992
280 843 798
589 48 197
697 620 -372
290 258 -335
787 427 -842
146 79 -7
286 485 233
71 69 121
404 451 -998
432 835 -439
445 623 -779
133 288 87
262 805 -829
791 66 268
733 702 -407
655 176 -92
497 94 -157
120 623 -80
273 799 -158
292 338 212
830 399 948
703 104 554
404 621 37
632 114 -169
429 599 -760
672 40 862
14 44 290
466 287 -675
263 440 -720
812 817 -146
477 432 971
100 722 91
6 689 102
261 140 779
750 404 879
132 22 -450
538 730 -10
395 697 -422
655 650 76
643 363 -676
368 698 -995
76 46 -76
524 100 733
681 843 394
842 230 333
752 860 538
104 752 705
262 161 -177
91 426 -690
338 592 -475
558 519 192
574 842 -763
819 451 -24
633 266 -728
506 693 11
861 221 109
576 249 -88
581 317 621
784 749 396
472 686 14
52 744 -353
597 495 748
107 273 990
298 809 393
849 770 781
582 870 -726
334 150 962
774 481 -878
820 700 60
147 779 481
575 703 -485
385 254 212
78 598 484
428 273 -282
294 456 -656
565 105 688
855 859 929
674 470 -644
221 376 -761
43 564 206
343 716 560
508 571 76
715 348 437
738 763 -926
460 287 720
134 454 -335
294 141 -725
803 540 750
191 423 648
839 396 992
838 355 687
283 606 -806
393 1 519
80 473 -952
706 870 -893
114 638 -659
17 318 -282
115 571 -489
170 391 -724
220 826 108
381 476 -109
413 499 872
230 700 611
653 80 19
160 658 621
360 722 -757
212 334 869
728 498 176
354 82 -379
564 660 -624
113 205 -157
402 273 155
51 759 263
251 611 672
675 832 -84
685 587 -800
414 612 479
428 369 618
164 395 -815
390 304 -702
220 814 131
436 555 -620
351 217 -2
217 122 -581
117 207 -298
305 454 148
510 600 886
32 222 -168
430 85 -45
563 868 -298
433 115 -656
614 53 704
579 48 -603
352 279 141
89 528 307
79 116 -650
622 334 693
295 577 -182
593 78 -81
332 650 120
490 441 380
537 39 -765
475 342 -3
214 541 683
337 725 -775
630 744 -84
260 745 261
37 729 253
624 364 -236
609 281 55
69 1 352
227 187 -539
380 563 -995
497 312 888
76 817 787
11 384 -452
10 209 -413
562 137 671
759 160 -261
513 100 608
90 263 -964
5 276 -216
355 95 44
377 731 207
799 292 515
101 39 617
47 742 -449
781 350 788
775 80 935
297 765 -849
138 25 183
483 823 962
865 847 -195
709 666 -7
527 85 -637
328 363 -411
436 685 -625
511 81 987
758 631 -616
582 646 -928
753 387 -187
159 827 -956
626 783 251
847 703 -594
805 240 -600
104 777 61
304 552 -146
839 661 65
52 415 199
301 216 -65
71 733 312
287 178 184
104 17 76
844 448 344
694 515 -654
396 67 -618
639 125 332
210 688 -320
203 822 -246
172 681 655
6 406 -231
795 127 962
297 85 875
417 185 -664
272 439 847
391 422 802
665 570 545
256 395 -558
215 46 -196
453 117 308
261 214 218
792 797 718
277 442 149
143 197 -600
6 732 137
738 443 509
188 721 -195
313 605 -667
494 855 233
575 63 400
507 752 168
573 29 438
307 191 393
813 619 863
532 195 823
137 244 892
635 91 31
567 561 -288
866 3 396
622 315 -227
58 356 -483
336 48 -322
216 699 -606
800 434 -51
422 344 106
629 644 -963
35 455 681
342 127 -543
499 254 -485
122 431 594
336 29 -288
773 550 -753
66 233 -258
81 246 -265
127 53 -982
179 172 -293
855 799 895
825 617 -244
329 582 -194
31 577 -974
521 48 598
401 576 -552
237 284 -910
30 755 -377
677 63 9
391 682 158
5 705 291
226 452 -435
670 719 -153
230 380 967
230 175 820
347 464 -419
626 608 -957
654 371 -536
192 498 123
832 57 -407
634 613 -942
1 789 -189
197 717 853
450 44 -862
602 547 -742
352 487 -271
520 725 18
767 128 189
533 186 220
768 266 -562
489 712 -650
302 330 404
591 83 895
547 365 -720
532 151 -117
368 604 548
573 477 783
480 24 -573
373 250 -65
131 694 -105
608 402 625
408 445 355
615 603 321
111 753 183
739 397 224
675 671 -334
243 8 -407
275 117 -626
333 516 462
454 126 -856
100 683 -712
678 266 -41
507 83 972
250 525 -125
467 676 -565
165 787 -737
86 740 21
424 357 -686
799 357 -302
140 278 322
237 164 -520
106 482 116
207 162 850
572 95 -975
608 346 491
264 754 -194
415 666 949
225 107 246
808 78 -831
543 229 -260
163 347 -370
731 842 -22
564 332 -244
169 132 -844
132 786 501
723 303 34
632 202 -731
481 474 83
363 480 327
218 857 40
848 154 12
268 471 -306
510 447 -645
618 673 -488
815 467 -464
241 498 859
609 666 -6
268 596 680
550 530 -287
815 688 128
471 652 994
359 627 -582
197 521 -664
320 539 -957
745 280 513
270 401 726
837 213 -486
818 278 359
370 667 -461
461 772 838
372 203 247
138 516 48
228 705 -468
308 177 457
432 797 144
339 422 607
29 803 859
213 73 778
196 582 235
786 530 -326
186 844 -959
223 567 711
689 12 164
1 698 112
636 549 -193
705 701 -901
65 526 -543
632 828 -665
468 384 144
628 663 -104
542 107 190
431 796 768
1 609 74
50 7 -866
689 445 -328
246 525 453
599 840 917
864 61 -117
737 98 389
643 564 -928
90 402 -952
478 76 527
357 501 705
269 12 37
174 236 401
14 736 984
427 340 -556
766 603 -793
506 482 584
214 571 -526
492 846 -472
450 430 943
366 844 -566
782 568 -473
219 277 -257
652 214 -521
727 298 -658
119 747 417
831 500 535
119 696 402
480 12 -460
441 78 -894
802 718 1
482 159 -554
322 103 -715
69 478 387
515 626 928
42 129 625
60 680 950
37 598 -486
853 483 658
260 239 -718
167 570 308
339 410 -776
444 438 -274
620 680 982
93 168 -550
320 163 -302
98 602 -590
526 237 -664
611 348 -431
837 116 329
549 495 494
620 383 114
842 281 -558
203 780 88
711 634 133
60 220 -171
432 312 -178
409 193 -500
831 312 -984
187 358 -427
141 72 921
528 794 15
725 203 280
653 226 -746
220 859 622
513 602 703
680 10 -156
197 628 -891
153 569 908
495 653 -138
427 369 641
739 846 -553
120 250 -82
702 705 -210
517 101 393
273 493 -429
79 340 -709
118 702 241
747 286 726
309 143 921
108 740 723
852 670 -593
59 549 -605
567 835 640
26 170 -17
342 354 693
389 844 -792
535 510 -68
658 268 749
776 263 144
518 176 753
656 110 -326
596 119 -396
552 311 -389
545 294 -104
232 230 -219
143 562 500
491 729 -667
802 859 427
525 14 -131
205 258 888
740 264 -96
285 681 183
731 727 -973
112 736 -636
102 854 -834
665 725 431
737 316 -441
719 406 -513
610 185 -462
401 511 17
57 663 531
347 777 -314
464 449 580
702 154 781
552 397 -675
19 166 96
62 6 -242
209 21 761
225 545 275
37 567 888
61 852 -943
161 796 -709
669 342 -264
483 669 823
99 544 -541
2 395 -658
722 378 517
339 541 358
26 254 -644
841 261 313
192 822 -834
298 810 -118
737 10 104
385 46 658
781 295 -503
257 421 799
717 832 -567
420 778 755
432 494 -398
334 201 150
293 216 -899
814 135 66
693 767 888
804 326 -265
700 275 -925
316 328 -575
455 128 -837
551 59 108
266 488 -212
395 108 942
767 612 798
595 867 -247
492 53 -649
784 754 -179
121 871 -338
183 786 794
724 241 230
268 58 -230
613 669 -57
387 658 -962
65 389 926
2 54 -195
654 16 617
726 84 786
183 766 52
403 848 772
277 325 -477
861 87 942
317 600 -719
376 24 -919
288 118 -431
515 460 -236
787 639 -62
403 393 234
516 602 201
390 494 518
70 75 -999
546 277 -710
848 26 113
598 463 842
650 848 143
441 729 -360
855 517 168
26 781 -404
462 656 -909
809 131 918
798 685 78
586 656 667
150 561 875
449 231 -400
286 746 -784
842 491 -168
601 104 -303
208 292 681
431 560 -204
415 138 -595
185 237 -652
417 155 302
650 760 619
552 257 109
272 222 398
430 134 -742
184 545 -514
316 858 438
648 411 -69
39 240 -892
92 682 353
80 299 361
307 753 197
354 162 568
375 635 95
657 60 178
266 542 464
626 46 945
505 802 -284
722 561 -595
334 296 194
450 65 -58
319 649 -160
779 19 160
114 771 -932
812 505 -485
426 695 -27
85 179 -448
536 404 747
321 561 -33
412 180 -759
333 221 806
188 243 -718
706 179 948
247 586 -967
59 767 515
678 869 -329
464 539 -329
108 807 287
851 497 371
4 756 -20
205 281 719
391 94 -892
705 701 -646
162 441 -144
139 217 514
853 749 729
237 295 -282
669 185 -977
737 347 318
14 310 123
438 560 562
322 57 763
452 861 972
733 419 -903
713 428 720
635 407 -616
139 89 460
46 377 -464
757 524 -533
71 559 905
452 192 600
728 449 866
624 214 -392
648 263 149
172 620 263
591 834 633
339 159 -661
607 792 -536
202 129 -540
320 239 -218
296 433 -545
161 702 760
611 63 -409
155 506 -909
635 35 977
123 846 534
285 82 763
840 851 124
655 231 -428
437 388 -456
48 509 53
207 603 -842
221 20 33
534 573 247
421 156 868
575 112 -328
473 111 -520
23 174 -507
656 732 520
387 460 844
682 155 651
862 33 168
408 281 -503
36 113 652
402 804 -318
616 335 -326
51 317 -960
263 611 938
270 385 -729
245 100 -664
490 604 612
752 165 -676
703 289 679
50 421 957
583 454 644
