9586 26818
6865 3981 447
9206 4872 -423
4097 4891 484
277 4385 -563
442 4009 -846
2866 5333 -384
1996 8553 594
8164 1556 -108
5889 4626 543
7425 9305 -593
3787 9298 991
1741 9074 288
69 8672 85
561 4572 -772
753 1552 738
452 6470 905
9545 7998 780
1020 5393 224
3467 5902 -434
6806 3776 69
7853 3876 -386
1725 1677 -582
7272 8522 110
387 9321 -658
9284 7082 -585
128 6633 395
9066 5098 265
7306 2625 310
5820 2747 -607
2176 9213 204
646 1522 -38
8649 2511 802
460 8319 42
7002 9091 338
9333 6336 192
3596 2050 873
6698 8274 776
3005 6004 376
3303 9414 -221
7643 5497 177
231 7943 102
3633 482 536
6226 6987 -669
6132 1116 -622
2446 2546 92
8581 6327 757
7830 7469 839
995 4090 -532
7436 2246 839
8566 810 389
9070 6447 420
5028 7931 -921
4206 2682 -928
2342 3365 -231
8324 2226 350
2723 5158 644
2087 2663 889
7539 2496 532
6636 902 718
5793 802 733
836 6814 312
8687 5751 664
8634 7510 251
8344 7170 586
1955 1030 474
1106 5634 -828
5745 8774 394
6918 2499 970
573 1675 -432
2832 8936 82
4523 6470 842
1838 1748 -142
5991 7241 -752
568 5209 969
9142 7968 900
3374 6674 331
255 7260 -678
3665 7491 -169
884 6802 649
2147 3185 436
1925 6464 -762
454 2136 -364
3649 5153 502
6515 7418 559
9101 6871 72
8951 8180 -489
6821 408 -731
5529 5861 -30
8602 6584 -168
125 4564 -669
674 9516 586
3779 9224 988
2802 3139 -112
3527 6091 -515
3252 4283 321
8945 4030 690
2527 6787 273
3105 2008 734
5284 5570 -809
77 6419 251
6284 628 -832
2564 4322 601
7818 8037 -292
2800 5394 -244
4414 414 -919
1712 4762 -275
7366 6213 -956
5172 605 -708
6420 9211 -236
3479 7909 -269
9034 7049 427
7595 7996 -281
4742 3110 -854
7732 7153 698
6949 3192 -796
421 7803 -412
6264 4667 -931
5075 6080 -290
9192 8690 848
3273 8301 628
8688 4423 -908
5094 777 -115
7374 2830 -174
5306 3081 -418
5711 2390 -52
1101 7452 920
186 4621 434
6000 3420 -308
6988 2601 929
2261 6484 -617
3954 7006 227
4216 1164 -118
3944 4274 543
1168 5906 93
384 7718 -900
8790 6970 391
4401 3769 574
6699 5537 812
7466 112 695
2140 5679 -418
1678 5299 -61
7654 7010 -682
1181 7224 -181
383 4760 391
5186 6740 204
1209 5177 -442
5269 4045 493
2242 1846 -967
3108 1870 -330
9196 3296 527
3352 4947 -231
2164 690 -361
4367 3651 -234
1641 4822 -859
4082 5389 189
5724 2219 544
8947 5471 896
1602 9444 -707
4094 150 -956
4471 7055 223
7328 7124 -402
4429 4830 698
3054 5752 335
1093 1949 552
2890 774 -46
3111 2549 -916
3038 4143 -706
1254 4639 872
1945 2708 -55
8771 3699 87
923 1689 852
2502 5516 -361
1475 8339 850
2237 477 357
4916 3680 -942
6538 3542 -393
5997 1776 856
1637 1653 143
9302 9198 283
8524 803 -611
2875 2829 632
2663 387 673
4663 6810 -39
9352 3521 580
6947 3910 -729
8401 6564 613
9209 2327 757
2374 3424 -444
8192 605 745
384 1649 521
4351 4136 -409
998 5239 539
2891 2155 859
616 6576 431
7008 8999 -659
4877 945 -503
2753 4461 -251
3389 2031 881
3970 7616 -15
5003 5262 -411
267 1402 -668
6051 6790 -114
5316 7560 495
5541 7844 -231
4821 5985 -645
5150 7487 4
7382 4478 -514
2946 9362 831
424 7129 -801
4270 6361 -368
3881 3305 681
2044 6876 991
9428 2891 -346
1794 8425 -206
3204 2057 663
6273 2890 798
8310 839 -49
4731 790 964
4907 4071 -788
5211 8847 58
6485 2612 315
4924 6288 478
5482 2159 -437
2471 4442 233
7465 3111 -107
7606 4265 -746
8730 3033 846
1283 4467 958
2388 8400 -639
1700 8217 20
673 6074 -769
1359 3543 748
1216 2259 -434
2952 4350 431
1662 2594 250
9473 4410 193
7626 3900 63
659 502 833
5873 2919 71
4696 6588 -775
4378 7371 -17
2928 1005 -798
6245 8118 -403
1927 154 838
9072 7990 -125
8491 8084 -431
5052 9029 234
5667 5319 162
8874 9273 635
6841 6805 -810
886 4232 958
5630 3982 32
2752 8169 137
9364 8410 728
6383 2410 -361
9350 713 -427
4493 4106 1
6287 1452 452
1920 8771 245
474 7036 -908
5468 1671 785
2521 4766 -405
8960 4190 -752
7475 8930 666
5855 5589 422
5978 7291 -670
6892 4969 -251
8726 1040 697
3814 7103 897
5901 9434 876
9547 6188 171
8833 3211 -270
1286 6447 289
5062 9184 -143
6792 6256 520
1509 4737 411
6879 5376 -623
7749 1210 -843
5705 2861 -36
8406 1537 -206
8039 1671 95
440 9301 22
8366 1544 -27
730 799 -921
590 1797 661
3333 6879 328
5477 4125 797
7156 9540 -45
3699 4582 -292
8910 2561 -982
7094 7071 -609
8101 2800 189
498 4472 -160
1212 8694 330
4159 3628 -782
2645 2198 -22
4234 6024 -784
3410 9086 -549
3772 2120 -296
4612 9441 -321
8401 3452 -33
5199 2646 930
6861 1841 407
3633 7160 -525
8538 1088 442
7935 7920 696
4965 2707 -363
8853 4572 -616
5894 1671 283
8723 5026 367
3232 6512 491
4217 2875 279
9161 2233 -50
4188 9211 98
816 1159 -362
5784 3658 -787
5574 6364 -930
1691 2469 -991
4964 4161 556
7716 5679 423
6572 6056 -911
8615 8483 -774
2032 3884 -417
7820 3181 -972
7887 971 -513
5836 9324 -914
3301 580 945
9569 2521 567
5366 492 263
174 2865 373
1326 696 948
6241 8236 820
8520 6874 -354
3240 3916 190
9557 6290 -482
3932 5372 535
3093 1992 745
8443 6288 -890
3795 6788 -66
5269 6889 551
5942 3470 -350
1767 1654 -20
4695 1420 372
3623 4224 493
6877 7514 -254
7979 9410 -31
6694 879 743
8721 6074 486
7094 5843 607
8690 1880 472
152 799 872
768 5197 -791
5933 5329 -584
8361 4863 843
5261 2432 -470
404 5348 -246
6447 7516 308
5935 971 -943
2253 8030 -365
1873 2813 740
5155 7781 227
8643 9337 -797
5709 3379 -912
4542 8275 535
5975 3481 79
5864 2389 -946
6153 1953 -848
4170 4956 -327
3831 9499 -416
1159 9534 106
8113 5141 639
1263 5590 -625
4974 261 466
6803 8627 922
3267 4324 691
8467 6025 562
4427 1969 -81
7055 8845 949
9011 6682 -670
5057 1773 -541
6 4316 497
4539 645 -299
1592 3706 -829
6332 5121 811
2933 9037 924
5205 4844 -702
8844 7569 859
110 1056 68
534 7993 -557
649 8044 787
6398 5022 855
9294 7673 -493
3908 3837 791
3093 9525 -671
3528 2842 252
1572 4151 -744
4713 4739 2
3831 2241 965
1228 8570 505
7957 5096 655
523 598 -810
7837 3966 -225
5868 2973 -730
6753 1774 966
9166 7321 -925
2710 6204 -114
6406 3950 883
5682 9452 -894
5413 1430 495
1077 584 478
59 6382 -856
